species,y,x
Rusa unicolor,14.245088,101.445434
Rusa unicolor,14.442547,101.374501
Rusa unicolor,14.423355,101.387044
Rusa unicolor,12.158957,99.652744
Rusa unicolor,14.292672,101.350318
Rusa unicolor,14.33932,101.52536
Rusa unicolor,14.561992,101.2055
Rusa unicolor,14.598072,101.243088
Rusa unicolor,14.455281,101.333322
Rusa unicolor,14.430671,101.381438
Rusa unicolor,14.477033,101.361121
Rusa unicolor,14.532794,101.32142
Rusa unicolor,14.579029,101.355359
Rusa unicolor,14.598646,101.25973
Rusa unicolor,14.213395,101.428942
Rusa unicolor,12.760073,99.576624
Rusa unicolor,14.510786,101.345721
Rusa unicolor,14.430259,101.354578
Rusa unicolor,14.342638,101.439723
Rusa unicolor,14.353136,101.413892
Rusa unicolor,14.526736,101.31176
Rusa unicolor,14.454317,101.28022
Rusa unicolor,14.580501,101.250922
Rusa unicolor,14.544018,101.236942
Rusa unicolor,14.455975,101.225364
Rusa unicolor,14.407729,101.370435
Rusa unicolor,14.557684,101.249089
Rusa unicolor,14.582065,101.354494
Rusa unicolor,14.386429,101.35888
Rusa unicolor,14.357538,101.347526
Rusa unicolor,15.597817,99.361526
Rusa unicolor,14.327011,101.317028
Rusa unicolor,14.423693,101.385622
Rusa unicolor,15.597812,99.361496
Rusa unicolor,14.423758,101.386655
Rusa unicolor,14.416293,101.371263
Rusa unicolor,14.36,101.4
Rusa unicolor,14.452279,101.363937
Rusa unicolor,14.435234,101.372597
Rusa unicolor,14.42318,101.388843
Rusa unicolor,14.423943,101.387063
Rusa unicolor,14.415316,101.371346
Rusa unicolor,15.597883,99.361526
Rusa unicolor,14.263788,101.7034
Rusa unicolor,14.428602,101.382887
Rusa unicolor,14.43683,101.369754
Rusa unicolor,14.435017,101.414424
Rusa unicolor,14.436587,101.372139
Rusa unicolor,14.443754,101.369057
Rusa unicolor,14.417015,101.371201
Rusa unicolor,14.421547,101.388611
Rusa unicolor,14.430011,101.382591
Rusa unicolor,14.414981,101.371483
Rusa unicolor,14.419119,101.37088
Rusa unicolor,15.597878,99.361519
Rusa unicolor,14.422271,101.371217
Rusa unicolor,14.415488,101.371311
Rusa unicolor,14.438286,101.372958
Rusa unicolor,14.411194,101.373596
Rusa unicolor,14.418522,101.371109
Rusa unicolor,14.42,101.37
Rusa unicolor,14.390788,101.381493
Rusa unicolor,14.438596,101.371911
Rusa unicolor,10.54,99.19
Rusa unicolor,14.419006,101.370819
Rusa unicolor,14.426997,101.383026
Rusa unicolor,14.43928,101.371346
Rusa unicolor,14.404263,101.373779
Rusa unicolor,14.42373,101.385872
Rusa unicolor,14.413372,101.372047
Rusa unicolor,14.420745,101.371068
Rusa unicolor,14.43877,101.371833
Rusa unicolor,14.369504,101.372566
Rusa unicolor,14.434746,101.372337
Rusa unicolor,14.4369,101.3725
Rusa unicolor,14.421725,101.370949
Rusa unicolor,14.438732,101.372016
Rusa unicolor,14.411271,101.373317
Rusa unicolor,14.439546,101.38139
Rusa unicolor,14.423442,101.38677
Rusa unicolor,14.400078,101.419387
Rusa unicolor,14.438759,101.39658
Rusa unicolor,14.418637,101.369148
Rusa unicolor,14.427318,101.383224
Rusa unicolor,14.332045,101.571036
Rusa unicolor,14.424897,101.386475
Rusa unicolor,14.420814,101.370903
Rusa unicolor,8.960437,98.635969
Rusa unicolor,14.4326,101.4001
Rusa unicolor,14.417504,101.37114
Rusa unicolor,14.280312,101.672974
Rusa unicolor,14.439659,101.373575
Rusa unicolor,14.279355,102.016183
Rusa unicolor,14.4193,101.3824
Rusa unicolor,14.42255,101.388497
Rusa unicolor,14.436329,101.372696
Rusa unicolor,14.438389,101.37101
Rusa unicolor,14.4392,101.3716
Rusa unicolor,14.438457,101.37122
Rusa unicolor,14.438241,101.373437
Rusa unicolor,14.433101,101.400461
Rusa unicolor,14.460945,101.369938
Rusa unicolor,14.33209,101.57102
Rusa unicolor,14.4317,101.3703
Rusa unicolor,14.436044,101.384558
Rusa unicolor,14.423686,101.386828
Rusa unicolor,14.374804,101.468825
Rusa unicolor,14.410923,101.372741
Rusa unicolor,14.438951,101.371626
Rusa unicolor,14.438544,101.371301
Rusa unicolor,14.43299,101.380157
Rusa unicolor,14.438322,101.371193
Rusa unicolor,14.416393,101.374111
Rusa unicolor,8.998823,98.612434
Rusa unicolor,14.413333,101.371826
Rusa unicolor,14.379148,101.395741
Rusa unicolor,14.438198,101.371314
Rusa unicolor,12.798243,99.459152
Rusa unicolor,14.438759,101.39658
Rusa unicolor,14.433683,101.37623
Rusa unicolor,14.438666,101.371815
Rusa unicolor,14.441027,101.370324
Rusa unicolor,14.532783,101.370814
Rusa unicolor,12.806729,99.496665
Rusa unicolor,14.416698,101.371207
Rusa unicolor,15.597772,99.361458
Rusa unicolor,14.4322,101.4
Rusa unicolor,12.184722,99.651004
Rusa unicolor,15.597535,99.361081
Rusa unicolor,14.434713,101.372391
Rusa unicolor,14.433567,101.372445
Rusa unicolor,14.436766,101.372555
Rusa unicolor,14.419053,101.372566
Rusa unicolor,14.386463,101.385899
Rusa unicolor,14.33209,101.57102
Rusa unicolor,14.411704,101.373167
Rusa unicolor,16.040529,99.23275
Rusa unicolor,14.436044,101.384558
Rusa unicolor,14.43867,101.371122
Rusa unicolor,12.806729,99.496665
Rusa unicolor,14.329058,101.6282
Rusa unicolor,14.4387,101.3717
Rusa unicolor,14.384203,101.388273
Rusa unicolor,14.42514,101.385185
Rusa unicolor,14.431916,101.400182
Rusa unicolor,14.428724,101.368409
Rusa unicolor,15.597779,99.361511
Rusa unicolor,14.434556,101.37267
Rusa unicolor,14.332045,101.571036
Rusa unicolor,14.436329,101.372696
Rusa unicolor,14.43853,101.371155
Rusa unicolor,12.185463,99.652383
Rusa unicolor,14.42986,101.369492
Rusa unicolor,16.389774,101.570037
Rusa unicolor,14.431149,101.400551
Rusa unicolor,14.438566,101.371282
Rusa unicolor,12.798931,99.454134
Rusa unicolor,14.4735,101.3916
Rusa unicolor,14.438583,101.371635
Rusa unicolor,14.438171,101.372395
Rusa unicolor,14.507455,101.378568
Rusa unicolor,14.423741,101.387434
Rusa unicolor,14.425078,101.387001
Rusa unicolor,14.421299,101.370872
Rusa unicolor,14.431431,101.401249
Rusa unicolor,15.597535,99.361081
Rusa unicolor,14.446592,101.373626
