species,x,y
Rattus norvegicus,-76.249751,36.798992
Rattus norvegicus,-87.627708,41.877075
Rattus norvegicus,-73.907647,40.685785
Rattus norvegicus,-73.972947,40.690005
Rattus norvegicus,-111.846957,40.675609
Rattus norvegicus,-79.817475,39.524362
Rattus norvegicus,-73.527058,41.326402
Rattus norvegicus,-122.352828,47.666928
Rattus norvegicus,-74.000222,40.733033
Rattus norvegicus,-74.04712,40.734161
Rattus norvegicus,-118.00595,33.71428
Rattus norvegicus,-74.003113,40.693
Rattus norvegicus,-71.498169,41.867369
Rattus norvegicus,-73.987019,40.742608
Rattus norvegicus,-73.981055,40.759128
Rattus norvegicus,-122.27707,37.867338
Rattus norvegicus,-80.143653,26.030789
Rattus norvegicus,-74.002099,40.594369
Rattus norvegicus,-122.367216,47.664663
Rattus norvegicus,-95.048872,29.457514
Rattus norvegicus,-122.414427,45.513553
Rattus norvegicus,-77.041833,38.899811
Rattus norvegicus,-73.97403,40.73328
Rattus norvegicus,-73.982147,40.741192
Rattus norvegicus,-83.086665,40.105294
Rattus norvegicus,-73.957795,40.766062
Rattus norvegicus,-73.965583,40.782555
Rattus norvegicus,-73.977928,40.684625
Rattus norvegicus,-74.440562,40.409354
Rattus norvegicus,-84.949198,34.512641
Rattus norvegicus,-79.805488,36.06772
Rattus norvegicus,-73.982781,40.726921
Rattus norvegicus,-73.962692,40.692117
Rattus norvegicus,-73.970488,40.77995
Rattus norvegicus,-73.934258,40.851783
Rattus norvegicus,-83.651227,41.381126
Rattus norvegicus,-73.962683,40.692138
Rattus norvegicus,-73.96263,40.692075
Rattus norvegicus,-122.372139,47.636525
Rattus norvegicus,-79.467379,39.610981
Rattus norvegicus,-85.851096,33.721395
Rattus norvegicus,-73.962753,40.692137
Rattus norvegicus,-75.5682,39.823412
Rattus norvegicus,-122.308252,47.659801
Rattus norvegicus,-122.198067,47.923047
Rattus norvegicus,-87.66904,41.965827
Rattus norvegicus,-87.663712,42.011639
Rattus norvegicus,-122.39504,47.696024
Rattus norvegicus,-74.001961,40.73963
Rattus norvegicus,-73.962683,40.692058
Rattus norvegicus,-121.350223,38.553771
Rattus norvegicus,-122.462333,47.907333
Rattus norvegicus,-77.045607,38.921897
Rattus norvegicus,-73.953278,40.684478
Rattus norvegicus,-87.69545,41.854192
Rattus norvegicus,-121.416347,38.459097
Rattus norvegicus,-73.986706,40.755971
Rattus norvegicus,-71.068713,42.352936
Rattus norvegicus,-73.994138,40.751398
Rattus norvegicus,-111.863905,40.855433
Rattus norvegicus,-73.968689,40.643058
Rattus norvegicus,-71.016969,42.36354
Rattus norvegicus,-73.969203,40.77606
Rattus norvegicus,-74.030486,40.731047
Rattus norvegicus,-73.984663,40.726537
Rattus norvegicus,-71.080018,42.45326
Rattus norvegicus,-73.957293,40.808551
Rattus norvegicus,-73.95743,40.79438
Rattus norvegicus,-76.831496,39.16289
Rattus norvegicus,-73.897353,40.890622
Rattus norvegicus,-122.311163,47.654533
Rattus norvegicus,-122.33455,47.683238
Rattus norvegicus,-118.282394,34.016087
Rattus norvegicus,-73.886094,40.89713
Rattus norvegicus,-95.360542,29.7541
Rattus norvegicus,-87.683709,42.047851
Rattus norvegicus,-122.12883,39.464603
Rattus norvegicus,-122.148366,37.428195
Rattus norvegicus,-122.128844,39.464613
Rattus norvegicus,-122.656742,45.531859
Rattus norvegicus,-71.124939,42.380183
Rattus norvegicus,-122.322267,47.680717
Rattus norvegicus,-111.819337,40.750012
Rattus norvegicus,-81.796448,26.395061
Rattus norvegicus,-111.819337,40.750012
Rattus norvegicus,-87.612254,41.801131
Rattus norvegicus,-71.044261,42.083699
Rattus norvegicus,-72.803147,43.492828
Rattus norvegicus,-73.971108,40.7799
Rattus norvegicus,-87.622938,41.883238
Rattus norvegicus,-73.951273,40.797228
Rattus norvegicus,-87.623572,41.884412
Rattus norvegicus,-123.256719,44.582749
Rattus norvegicus,-89.323667,43.087967
Rattus norvegicus,-73.973565,40.766924
Rattus norvegicus,-93.232133,44.930489
Rattus norvegicus,-77.075994,38.894514
Rattus norvegicus,-77.021789,38.914422
