species,x,y
Ursus arctos,-110.402688,43.904812
Ursus arctos,-110.724039,44.606345
Ursus arctos,-109.661975,44.424256
Ursus arctos,-150.354503,63.421207
Ursus arctos,-149.412762,63.706078
Ursus arctos,-130.794436,55.604189
Ursus arctos,-149.01983,63.48483
Ursus arctos,-111.34654,44.710432
Ursus arctos,-110.441179,43.806408
Ursus arctos,-113.692861,48.673977
Ursus arctos,-110.575622,44.791372
Ursus arctos,-110.279742,44.531735
Ursus arctos,-113.856389,48.930133
Ursus arctos,-156.969073,58.61397
Ursus arctos,-110.792611,44.934515
Ursus arctos,-113.637193,48.742486
Ursus arctos,-110.506383,44.752044
Ursus arctos,-110.229274,44.994567
Ursus arctos,-113.870111,48.505094
Ursus arctos,-113.96251,48.580412
Ursus arctos,-110.066617,44.856856
Ursus arctos,-110.95431,44.402455
Ursus arctos,-110.308752,44.440646
Ursus arctos,-110.19287,44.438174
Ursus arctos,-110.592163,44.692644
Ursus arctos,-110.455752,44.579906
Ursus arctos,-149.776203,63.537995
Ursus arctos,-110.582169,44.740798
Ursus arctos,-149.686948,63.496289
Ursus arctos,-110.322218,44.576614
Ursus arctos,-113.400156,48.686838
Ursus arctos,-110.102867,44.433467
Ursus arctos,-110.452853,44.415905
Ursus arctos,-110.433644,44.817159
Ursus arctos,-110.402801,44.727453
Ursus arctos,-112.190736,48.511391
Ursus arctos,-110.315647,43.992225
Ursus arctos,-113.561526,48.89582
Ursus arctos,-149.280056,63.678543
Ursus arctos,-113.760762,48.741341
Ursus arctos,-110.197185,43.632899
Ursus arctos,-149.753506,63.498046
Ursus arctos,-110.648808,43.820259
Ursus arctos,-110.877275,44.581013
Ursus arctos,-110.731408,44.721069
Ursus arctos,-110.55873,44.685259
Ursus arctos,-113.767975,48.734033
Ursus arctos,-113.53428,48.76999
Ursus arctos,-113.494315,48.758037
Ursus arctos,-110.545924,43.944186
Ursus arctos,-110.228544,44.494324
Ursus arctos,-110.055316,44.819281
Ursus arctos,-110.329299,44.498363
Ursus arctos,-110.789331,45.031346
Ursus arctos,-110.74188,43.663976
Ursus arctos,-110.348666,44.464873
Ursus arctos,-110.469075,44.696198
Ursus arctos,-109.521434,44.906458
Ursus arctos,-110.887875,44.405363
Ursus arctos,-110.380496,44.454029
Ursus arctos,-112.129216,44.785632
Ursus arctos,-110.76004,44.896618
Ursus arctos,-113.758262,48.661926
Ursus arctos,-110.526582,43.821167
Ursus arctos,-130.168651,55.955089
Ursus arctos,-113.428744,48.639178
Ursus arctos,-110.556592,43.967011
Ursus arctos,-130.149082,55.895232
Ursus arctos,-110.372049,44.576689
Ursus arctos,-149.547325,63.703208
Ursus arctos,-110.279151,44.419235
Ursus arctos,-110.636049,43.811084
Ursus arctos,-110.834761,44.616108
Ursus arctos,-113.5407,48.77676
Ursus arctos,-110.333224,44.931859
Ursus arctos,-110.501304,44.513352
Ursus arctos,-113.26894,48.581148
Ursus arctos,-110.45756,43.809476
Ursus arctos,-110.541126,44.642606
Ursus arctos,-110.405343,44.745695
Ursus arctos,-110.518214,44.791055
Ursus arctos,-110.190962,44.958198
Ursus arctos,-110.481118,43.861322
Ursus arctos,-148.789016,69.4724
Ursus arctos,-110.220692,44.553369
Ursus arctos,-110.402098,43.831614
Ursus arctos,-149.330544,63.624556
Ursus arctos,-149.655613,63.414646
Ursus arctos,-110.268371,44.46597
Ursus arctos,-110.547447,43.8935
Ursus arctos,-110.45094,44.608004
Ursus arctos,-110.887074,44.790594
Ursus arctos,-110.487244,44.676167
Ursus arctos,-110.739367,44.939991
Ursus arctos,-109.507353,45.081526
Ursus arctos,-110.515418,44.679232
Ursus arctos,-110.676772,44.707653
Ursus arctos,-110.712116,44.805785
Ursus arctos,-110.744975,44.920424
Ursus arctos,-110.737583,44.92754
Ursus arctos,-110.875868,44.783753
Ursus arctos,-110.557965,43.999168
Ursus arctos,-150.334317,63.546296
Ursus arctos,-149.733759,63.43829
Ursus arctos,-110.660175,44.896716
Ursus arctos,-110.759656,44.765727
Ursus arctos,-110.554034,43.860832
Ursus arctos,-109.9422,43.383677
Ursus arctos,-110.552613,44.649216
Ursus arctos,-110.610268,44.082352
Ursus arctos,-110.621288,44.682077
Ursus arctos,-155.778236,58.553851
Ursus arctos,-110.068489,44.863081
Ursus arctos,-110.256873,44.522476
Ursus arctos,-149.676318,60.086308
Ursus arctos,-149.65204,60.159469
Ursus arctos,-110.688818,44.072965
Ursus arctos,-135.416135,59.331388
Ursus arctos,-110.284819,44.488685
Ursus arctos,-110.471195,44.794565
Ursus arctos,-110.532175,44.442617
Ursus arctos,-110.696096,43.892738
Ursus arctos,-110.4541,44.730352
Ursus arctos,-109.9953,44.501374
Ursus arctos,-150.957096,63.283664
Ursus arctos,-149.520931,60.19463
Ursus arctos,-110.235361,44.851245
Ursus arctos,-150.854314,63.576071
Ursus arctos,-132.360584,56.496467
Ursus arctos,-110.413223,44.903
Ursus arctos,-109.753991,43.527491
Ursus arctos,-110.371006,44.911035
Ursus arctos,-110.737528,43.730733
Ursus arctos,-110.612475,44.699041
Ursus arctos,-110.402645,43.925635
Ursus arctos,-135.434781,59.23316
Ursus arctos,-113.608996,48.899724
Ursus arctos,-110.257781,44.883751
Ursus arctos,-110.512532,43.951312
Ursus arctos,-110.642916,44.727407
Ursus arctos,-110.66284,44.97992
Ursus arctos,-110.797855,43.623467
Ursus arctos,-110.792621,44.647762
Ursus arctos,-110.517987,44.963355
Ursus arctos,-110.569303,44.722906
Ursus arctos,-110.807246,44.553185
Ursus arctos,-155.034198,58.723126
Ursus arctos,-155.129088,58.767446
Ursus arctos,-110.608923,43.719151
Ursus arctos,-149.981244,63.491467
Ursus arctos,-110.606302,44.816752
Ursus arctos,-110.445089,43.926079
Ursus arctos,-113.69995,47.753007
Ursus arctos,-110.491174,43.984805
Ursus arctos,-110.514992,44.951352
Ursus arctos,-149.600912,63.540578
Ursus arctos,-113.992181,47.835821
Ursus arctos,-113.616318,47.415204
Ursus arctos,-113.732425,48.60133
Ursus arctos,-110.498854,44.980716
Ursus arctos,-113.777785,47.638038
Ursus arctos,-110.611589,44.91156
Ursus arctos,-110.731971,44.818426
Ursus arctos,-150.557299,63.408006
Ursus arctos,-150.263369,62.450235
Ursus arctos,-110.206209,44.519351
Ursus arctos,-110.67595,44.624369
Ursus arctos,-110.338968,44.976785
Ursus arctos,-110.363064,44.803758
Ursus arctos,-153.836792,68.147362
Ursus arctos,-110.502677,43.831208
Ursus arctos,-113.774308,47.721795
Ursus arctos,-150.156948,62.60951
Ursus arctos,-113.69163,48.927233
Ursus arctos,-149.83659,60.48776
Ursus arctos,-113.498465,48.735957
Ursus arctos,-109.761501,44.541772
Ursus arctos,-113.700751,47.379571
Ursus arctos,-114.173432,48.623433
Ursus arctos,-110.489531,44.527854
Ursus arctos,-110.446072,44.567308
Ursus arctos,-110.435124,44.494081
Ursus arctos,-110.240309,44.816781
Ursus arctos,-110.582766,44.683698
Ursus arctos,-110.568812,44.753923
Ursus arctos,-113.274904,48.789778
Ursus arctos,-113.46965,48.767602
Ursus arctos,-109.661507,44.992098
Ursus arctos,-113.542916,48.72138
Ursus arctos,-110.726405,43.639249
Ursus arctos,-143.263309,65.040816
Ursus arctos,-113.768999,47.483769
Ursus arctos,-151.116525,63.102256
Ursus arctos,-149.086971,63.259166
Ursus arctos,-110.715562,44.448183
Ursus arctos,-110.425921,44.613026
Ursus arctos,-153.060074,60.383432
Ursus arctos,-130.681017,55.472496
Ursus arctos,-110.633799,43.775136
Ursus arctos,-130.634572,55.403989
Ursus arctos,-110.481548,44.873183
Ursus arctos,-110.394866,44.982383
Ursus arctos,-149.590493,63.656341
Ursus arctos,-110.243467,44.830034
Ursus arctos,-149.971188,62.602737
Ursus arctos,-149.407914,68.038868
Ursus arctos,-110.501116,44.632766
Ursus arctos,-113.798802,48.694985
Ursus arctos,-150.308484,63.006153
Ursus arctos,-110.629393,43.987063
Ursus arctos,-108.109488,45.980754
Ursus arctos,-110.347905,44.811084
Ursus arctos,-110.096557,44.910537
Ursus arctos,-110.687764,43.886784
Ursus arctos,-110.408478,44.58411
Ursus arctos,-110.591455,44.778172
Ursus arctos,-110.493093,43.965882
Ursus arctos,-143.711146,68.405741
Ursus arctos,-113.417482,47.124032
Ursus arctos,-110.427028,44.781151
Ursus arctos,-114.509656,48.48195
Ursus arctos,-110.036662,44.873104
Ursus arctos,-110.471434,44.542155
Ursus arctos,-110.612652,44.758455
Ursus arctos,-110.063588,44.810621
Ursus arctos,-149.663343,63.558
Ursus arctos,-149.711753,63.588594
Ursus arctos,-110.532284,43.870506
Ursus arctos,-110.699253,43.818472
Ursus arctos,-113.633768,48.695872
Ursus arctos,-135.453824,59.327296
Ursus arctos,-158.403631,59.104681
Ursus arctos,-110.434633,43.964943
Ursus arctos,-110.598263,43.98982
Ursus arctos,-110.351975,44.97579
Ursus arctos,-110.573375,44.810536
Ursus arctos,-110.687354,43.869715
Ursus arctos,-110.486855,43.833706
Ursus arctos,-110.232404,44.800058
Ursus arctos,-110.549981,43.917547
Ursus arctos,-110.514418,43.993532
Ursus arctos,-149.240417,63.618809
Ursus arctos,-110.539094,44.892614
Ursus arctos,-110.466628,44.703286
Ursus arctos,-110.43955,43.88019
Ursus arctos,-110.653249,44.456854
Ursus arctos,-110.795856,43.938454
Ursus arctos,-110.402504,43.9759
Ursus arctos,-151.133671,63.003262
Ursus arctos,-151.330079,63.554242
Ursus arctos,-136.91164,58.959227
Ursus arctos,-110.58107,43.986179
Ursus arctos,-115.875943,48.284015
Ursus arctos,-111.737966,47.345448
Ursus arctos,-110.599919,44.582272
Ursus arctos,-148.977237,63.608471
Ursus arctos,-111.090163,45.16759
Ursus arctos,-113.602362,48.777377
Ursus arctos,-110.690357,44.275356
Ursus arctos,-110.426776,44.58599
Ursus arctos,-110.546912,43.939783
Ursus arctos,-143.566802,61.075935
Ursus arctos,-149.655492,63.421324
Ursus arctos,-110.282638,44.978365
Ursus arctos,-150.835474,63.435273
Ursus arctos,-109.449611,44.973832
Ursus arctos,-149.554653,63.630846
Ursus arctos,-113.53467,48.901187
Ursus arctos,-109.247044,44.736229
Ursus arctos,-110.454035,44.677844
Ursus arctos,-110.415887,43.995481
Ursus arctos,-149.661594,63.519693
Ursus arctos,-149.6495,63.433435
Ursus arctos,-145.889882,66.474193
Ursus arctos,-149.672005,63.492235
Ursus arctos,-153.056997,59.933429
Ursus arctos,-111.214708,45.171387
Ursus arctos,-109.610453,44.417525
