species,BIO1,BIO12,x,y
Peromyscus maniculatus,0.010754808,0.556525487,-75.11261667,40.17125248
Peromyscus maniculatus,-1.153647965,-1.099527841,-105.1458717,40.00463248
Peromyscus maniculatus,-0.593009593,-1.266894933,-114.8098317,39.17153248
Peromyscus maniculatus,-2.425865809,-1.346174082,-114.3516267,43.67027248
Peromyscus maniculatus,0.032317822,-0.346375929,-100.7720967,41.17097248
Peromyscus maniculatus,1.326098681,-0.720749687,-119.1836067,34.96437748
Peromyscus maniculatus,-0.98114385,-0.117347277,-75.02930667,44.46171748
Peromyscus maniculatus,-0.657698635,-0.218648411,-123.0991767,47.21094748
Peromyscus maniculatus,1.110468538,0.226195701,-118.3505067,33.33983248
Peromyscus maniculatus,0.312637009,-1.051079473,-116.7259617,43.58696248
Peromyscus maniculatus,-1.347715093,-1.130358621,-105.2291817,39.96297748
Peromyscus maniculatus,0.11856988,-0.557786992,-102.1467117,43.75358248
Peromyscus maniculatus,1.110468538,-0.214244014,-122.2244217,37.83857248
Peromyscus maniculatus,-1.110521936,-0.302331957,-68.98933167,44.50337248
Peromyscus maniculatus,-0.938017821,-1.037866281,-111.3524667,39.54642748
Peromyscus maniculatus,1.36922471,-0.663492524,-116.6843067,33.75638248
Peromyscus maniculatus,-0.183312321,0.618187047,-82.52720667,39.67139248
Peromyscus maniculatus,1.153594567,-0.813242027,-118.2255417,34.63113748
Peromyscus maniculatus,0.226384951,-0.275905574,-122.2244217,47.71080748
Peromyscus maniculatus,0.894838395,-0.337567134,-122.9325567,38.42174248
Peromyscus maniculatus,-0.743950693,0.001571446,-73.11317667,44.50337248
Peromyscus maniculatus,-0.269564378,0.301070452,-87.81739167,42.12903748
Peromyscus maniculatus,0.959527438,0.380349601,-118.5171267,32.92328248
Peromyscus maniculatus,-1.520219208,-1.14797621,-105.3124917,40.04628748
Peromyscus maniculatus,0.010754808,-0.11294288,-123.9322767,45.54474748
Peromyscus maniculatus,0.592956195,-0.368397915,-123.6823467,40.87938748
Peromyscus maniculatus,-0.03237122,-0.11294288,-122.8909017,44.04516748
Peromyscus maniculatus,-0.571446578,0.362732012,-79.94459667,38.63001748
Peromyscus maniculatus,1.778921982,-0.187817631,-117.8089917,33.63141748
Peromyscus maniculatus,-0.549883564,0.111681375,-78.36170667,42.67055248
Peromyscus maniculatus,-2.08085758,-1.17880699,-110.6859867,43.71192748
Peromyscus maniculatus,1.175157581,-0.786815644,-118.4338167,34.63113748
Peromyscus maniculatus,-0.010808206,-0.227457206,-122.6826267,45.46143748
Peromyscus maniculatus,1.865174039,0.014784638,-117.3091317,33.29817748
Peromyscus maniculatus,-1.477093179,-1.30213011,-118.2255417,37.04712748
Peromyscus maniculatus,-0.204875335,-0.42125068,-122.1411117,44.29509748
Peromyscus maniculatus,-0.377379449,0.301070452,-88.06732167,41.96241748
Peromyscus maniculatus,1.82204801,-0.350780326,-117.1425117,33.63141748
Peromyscus maniculatus,0.334200023,0.878046479,-80.31949167,36.21402748
Peromyscus maniculatus,-0.053934235,-0.042472525,-123.3074517,44.58668248
Peromyscus maniculatus,-0.377379449,0.283452864,-83.19368667,42.12903748
Peromyscus maniculatus,0.42045208,-0.940969544,-113.2685967,37.21374748
Peromyscus maniculatus,-1.196773993,-1.020248693,-113.9767317,46.87770748
Peromyscus maniculatus,-0.269564378,-0.187817631,-123.8073117,48.04404748
Peromyscus maniculatus,-0.851765764,-0.588617772,-121.6412517,44.58668248
Peromyscus maniculatus,1.541728824,-0.535765006,-117.1841667,33.92300248
Peromyscus maniculatus,-2.490554852,-1.244872947,-110.6859867,44.96157748
Peromyscus maniculatus,-0.140186292,-0.148178057,-122.8075917,45.58640248
Peromyscus maniculatus,-0.312690406,0.39796719,-79.90294167,40.46283748
Peromyscus maniculatus,0.010754808,-0.236266,-122.6409717,45.58640248
Peromyscus maniculatus,1.153594567,-0.223052809,-121.5162867,37.63029748
Peromyscus maniculatus,-1.520219208,-0.425655077,-68.94767667,46.04460748
Peromyscus maniculatus,1.994552125,-0.016046143,-116.9342367,32.79831748
Peromyscus maniculatus,1.326098681,-0.557786992,-119.8500867,35.29761748
Peromyscus maniculatus,-0.722387678,0.226195701,-75.69578667,41.21262748
Peromyscus maniculatus,-0.010808206,-0.099729688,-123.6406917,46.12791748
Peromyscus maniculatus,-0.636135621,0.204173715,-83.90182167,42.54558748
Peromyscus maniculatus,-0.053934235,-0.800028835,-103.6879467,41.71248748
Peromyscus maniculatus,-1.606471265,-0.51374302,-91.19144667,47.37756748
Peromyscus maniculatus,-1.13208495,-0.954182735,-117.2674767,48.21066748
Peromyscus maniculatus,-0.98114385,0.138107758,-73.02986667,42.42062248
Peromyscus maniculatus,0.226384951,-0.152582454,-122.3910417,47.29425748
Peromyscus maniculatus,-0.463631507,-0.989417913,-107.7701367,47.75246248
Peromyscus maniculatus,-0.614572607,0.208578112,-84.11009667,42.50393248
